Category,Product name,Qty. Sold,Revenue,Date,Day,Month,Year,Weekday,Document Number,Transaction Type,Source File
Drink,Diet Coke (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Drink,Diet Coke (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183506.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Drink,Diet Coke (KR),2.0,0.0,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Drink,Diet Coke (KR),2.0,0.0,2025-03-24,24,3,2025,Monday,4183513.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Drink Choice 1 (KR),3.0,0.0,2025-03-24,24,3,2025,Monday,4183513.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Drink Choice 1 (KR),17.0,0.0,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Drink Choice 1 (KR),6.0,0.0,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Drink Choice 1 (KR),6.0,0.0,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Drink Choice 1 (KR),2.0,0.0,2025-03-24,24,3,2025,Monday,4183503.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Drink Choice 2 (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Drink Choice 2 (KR),2.0,0.0,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Drink Choice 2 (KR),3.0,0.0,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Edamame (KR),2.0,11.98,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Edamame (KR),1.0,5.99,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Egg (KR),1.0,2.49,2025-03-24,24,3,2025,Monday,4183495.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Egg (KR),2.0,4.98,2025-03-24,24,3,2025,Monday,4183512.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Egg (KR),6.0,11.94,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Egg (KR),1.0,1.99,2025-03-24,24,3,2025,Monday,4183498.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Egg (KR),4.0,7.96,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Egg (KR),4.0,7.96,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Egg (KR),1.0,2.49,2025-03-24,24,3,2025,Monday,4183493.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Egg (KR),5.0,9.95,2025-03-24,24,3,2025,Monday,4183513.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Egg (KR),2.0,4.98,2025-03-24,24,3,2025,Monday,4183507.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Extra Soup (KR),1.0,5.49,2025-03-24,24,3,2025,Monday,4183496.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Extra Soup (KR),1.0,5.99,2025-03-24,24,3,2025,Monday,4183511.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Extra Soup Chicken (KR),1.0,5.49,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Extra Soup Pork (KR),1.0,5.49,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Drink,Ginger Ale (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183507.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Drink,Ginger Ale (KR),3.0,0.0,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Drink,Ginger Ale (KR),2.0,0.0,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Gohan (KR),1.0,2.99,2025-03-24,24,3,2025,Monday,4183513.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Gohan (KR),1.0,2.99,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Grated Garlic (KR),2.0,4.98,2025-03-24,24,3,2025,Monday,4183501.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Grated Garlic (KR),2.0,3.98,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Half Noodle - Thick (KR),1.0,2.99,2025-03-24,24,3,2025,Monday,4183495.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Half Noodle - Thick (KR),1.0,2.99,2025-03-24,24,3,2025,Monday,4183505.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Half Noodle - Thick (KR),1.0,1.99,2025-03-24,24,3,2025,Monday,4183496.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Half Noodle - Thin (KR),3.0,5.97,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Side,Hot Karaage (KR),1.0,10.99,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Drink,Housemade Lemonade (KR),2.0,6.99,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Topping,Jalapeno Paste (KR),1.0,2.49,2025-03-24,24,3,2025,Monday,4183499.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Drink,Japanese Tea (KR),2.0,0.0,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Drink,Kinka Ramune (KR),1.0,3.0,2025-03-24,24,3,2025,Monday,4183507.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Kintonlicious (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183507.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Kintonlicious (KR),10.0,0.0,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Kintonlicious (KR),2.0,0.0,2025-03-24,24,3,2025,Monday,4183513.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Kogashi Shoyu-men (KR),1.0,21.99,2025-03-24,24,3,2025,Monday,4183495.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Kogashi Shoyu-men (KR),1.0,21.99,2025-03-24,24,3,2025,Monday,4183512.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Kogashi Shoyu-men (KR),14.0,94.95,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Kogashi Shoyu-men (KR),3.0,56.97,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Kogashi Shoyu-men (KR),2.0,21.99,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Kogashi Shoyu-men (KR),4.0,87.96,2025-03-24,24,3,2025,Monday,4183492.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Kogashi Shoyu-men (KR),4.0,37.98,2025-03-24,24,3,2025,Monday,4183513.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Kogashi Shoyu-men (KR),8.0,175.92,2025-03-24,24,3,2025,Monday,4183511.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Kogashi Shoyu-men (KR),3.0,71.97,2025-03-24,24,3,2025,Monday,4183507.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Kogashi Shoyu-men (KR),2.0,43.98,2025-03-24,24,3,2025,Monday,4183504.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Dessert,Kurogoma Cheesecake (KR),1.0,6.99,2025-03-24,24,3,2025,Monday,4183507.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Lunch Special (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Lunch Special Ramen (KR),1.0,15.99,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Dessert,Mango Cheesecake (KR),2.0,11.98,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Dessert,Mango Cheesecake (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183512.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Marketing Promotion BOGO Ramen 3 (KR),8.0,199.92,2025-03-24,24,3,2025,Monday,4183495.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Marketing Promotion BOGO Ramen 3 (KR),2.0,49.98,2025-03-24,24,3,2025,Monday,4183508.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Marketing Promotion BOGO Ramen 3 (KR),2.0,49.98,2025-03-24,24,3,2025,Monday,4183501.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Marketing Promotion BOGO Ramen 3 (KR),2.0,49.98,2025-03-24,24,3,2025,Monday,4183500.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Marketing Promotion BOGO Ramen 3 (KR),2.0,49.98,2025-03-24,24,3,2025,Monday,4183499.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Marketing Promotion BOGO Ramen 3 (KR),10.0,249.9,2025-03-24,24,3,2025,Monday,4183507.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Dessert,Matcha Cheesecake (KR),4.0,0.0,2025-03-24,24,3,2025,Monday,4183507.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Dessert,Matcha Cheesecake (KR),3.0,0.0,2025-03-24,24,3,2025,Monday,4183512.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Dessert,Matcha Cheesecake (KR),1.0,5.99,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Dessert,Matcha Cheesecake (KR),1.0,5.99,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Dessert,Matcha Ice Cream (KR),1.0,5.99,2025-03-24,24,3,2025,Monday,4183513.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Dessert,Matcha Ice Cream (KR),4.0,23.96,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Meal For One:Combo (KR),2.0,0.0,2025-03-24,24,3,2025,Monday,4183507.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Meal For One:Combo (KR),5.0,0.0,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Meal For One:Combo (KR),3.0,0.0,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Meal For One:Combo (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183506.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Meal For One:Combo (KR),4.0,0.0,2025-03-24,24,3,2025,Monday,4183502.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Meal For One:Combo (KR),2.0,0.0,2025-03-24,24,3,2025,Monday,4183503.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Meal For One:Combo (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183513.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Meal For One:Options:Drink Choice (KR),2.0,0.0,2025-03-24,24,3,2025,Monday,4183507.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Other,Meal For One:Options:Drink Choice (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183506.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Meal For One:Options:Ramen (KR),2.0,0.0,2025-03-24,24,3,2025,Monday,4183507.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Meal For One:Options:Ramen (KR),5.0,119.95,2025-03-24,24,3,2025,Monday,4183509.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Meal For One:Options:Ramen (KR),3.0,71.97,2025-03-24,24,3,2025,Monday,4183497.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
Main,Meal For One:Options:Ramen (KR),1.0,0.0,2025-03-24,24,3,2025,Monday,4183506.0,Cash Sale,SalesbyItemDetail0324to03302025.csv
